DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-06 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2811.58	2022-01-06 15:00:58
2022-01-06 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2854.66	2022-01-06 16:01:03
2022-01-06 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2905.99	2022-01-06 17:00:54
2022-01-06 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2901.04	2022-01-06 18:00:57
2022-01-06 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2837.91	2022-01-06 19:00:59
2022-01-06 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2824.23	2022-01-06 20:00:57
2022-01-06 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2773.33	2022-01-06 21:00:57
2022-01-06 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2731.39	2022-01-06 22:00:54
2022-01-06 20:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2705.57	2022-01-06 23:00:56
2022-01-06 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2681.33	2022-01-07 03:00:53
2022-01-06 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2626.15	2022-01-07 03:00:53
2022-01-06 23:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2608.89	2022-01-07 03:00:53
2022-01-07 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2579.82	2022-01-07 03:00:57
2022-01-07 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2681.14	2022-01-07 04:00:55
2022-01-07 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2681.45	2022-01-07 05:00:59
2022-01-07 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2674.38	2022-01-07 06:00:58
2022-01-07 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2686.87	2022-01-07 07:00:58
2022-01-07 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2687.22	2022-01-07 08:00:57
2022-01-07 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2809.44	2022-01-07 09:01:08
2022-01-07 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2939.89	2022-01-07 10:01:06
2022-01-07 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2949.94	2022-01-07 11:00:58
2022-01-07 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2977.35	2022-01-07 12:00:56
2022-01-07 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2941.57	2022-01-07 13:01:00
2022-01-07 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2916.01	2022-01-07 14:00:59
2022-01-07 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2938.69	2022-01-07 15:01:02
2022-01-07 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2937.88	2022-01-07 16:00:58
2022-01-07 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2909.46	2022-01-07 17:00:50
2022-01-07 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2911.76	2022-01-07 18:00:53
2022-01-07 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2843.56	2022-01-07 19:00:53
2022-01-07 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2847.25	2022-01-07 20:00:50
2022-01-07 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2793.17	2022-01-07 21:00:51
2022-01-07 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2811.81	2022-01-07 22:00:52
2022-01-02 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2758.24	2022-01-02 20:00:57
2022-01-02 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2702.36	2022-01-02 21:00:56
2022-01-02 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2659.7	2022-01-02 22:00:57
2022-01-02 20:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2672.44	2022-01-02 23:01:04
2022-01-02 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2678.08	2022-01-03 03:00:53
2022-01-02 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2644.69	2022-01-03 03:00:53
2022-01-02 23:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2495.56	2022-01-03 03:00:53
2022-01-03 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2446.43	2022-01-03 03:00:53
2022-01-03 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2427.14	2022-01-03 04:00:55
2022-01-03 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2446.18	2022-01-03 05:01:17
2022-01-03 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2562.84	2022-01-03 06:00:56
2022-01-03 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2595.15	2022-01-03 07:01:00
2022-01-03 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2571.82	2022-01-03 08:01:05
2022-01-03 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2662.37	2022-01-03 09:00:56
2022-01-03 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2756.55	2022-01-03 10:01:09
2022-01-03 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2796.34	2022-01-03 11:00:59
2022-01-03 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2815.36	2022-01-03 12:00:51
2022-01-03 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2819.61	2022-01-03 13:01:04
